pair,task1,task2,merge_right_subspace_overlap_top_k,merge_right_subspace_overlap_bottom_k,merge_interaction_matrix_overlap_top_k,merge_interaction_matrix_overlap_bottom_k,merge_effective_rank,merge_effective_rank_mergeability_score,merge_stable_rank,merge_spectral_gap,merge_singular_value_ratio,merge_layerwise_effective_rank,merge_layerwise_effective_rank_mergeability_score,merge_task_vector_cosine_similarity,merge_task_vector_l2_distance,merge_task_vector_dot_product,merge_weight_space_angle,merge_task_vector_magnitude_ratio,merge_singular_value_overlap,merge_subspace_overlap,merge_right_subspace_overlap,merge_activation_l2_distance,merge_activation_cosine_similarity,merge_activation_magnitude_ratio,merge_activation_dot_product,merge_encoder_gradient_cosine_similarity,merge_encoder_gradient_l2_distance,merge_encoder_gradient_dot_product,merge_input_gradient_cosine_similarity,merge_input_gradient_l2_distance,merge_input_gradient_dot_product,perf_weight_avg,perf_isotropic,perf_tsv,perf_arithmetic
SUN397__Cars,SUN397,Cars,0.4109360390434528,0.38233625362906015,0.20594156579167214,0.2401016520881006,1.9790856838226318,0.020914316177368164,1.9589585065841675,0.25288426876068115,0.7471157312393188,1.9114067690983754,0.08859323090162463,0.03790707141160965,2.8415143489837646,0.15114916861057281,87.82756430361341,0.7416404688522776,0.9339911892728986,0.07817717517884273,0.1299493823411329,2.5657405853271484,0.9664222598075867,0.9831487226371688,94.32937622070312,-0.0046908133663237095,1.2615877389907837,0.04397159069776535,-0.014793220907449722,0.14878757297992706,9.995562140829861e-05,0.9511925280094147,0.9287751615047455,0.9852249920368195,0.9081486761569977
SUN397__RESISC45,SUN397,RESISC45,0.44324062165764155,0.3873690897197743,0.22241233542280378,0.24407134560938432,1.9952313899993896,0.0047686100006103516,1.9905043840408325,0.12921234965324402,0.8707876801490784,1.9380178820504137,0.0619821179495863,0.04222429171204567,2.9795942306518555,0.19265033304691315,87.58000683111985,0.8486240517837581,0.9292381045953283,0.09027322831581222,0.1401649908074793,2.117682695388794,0.978131890296936,0.9642443165945227,97.3440933227539,0.014807861298322678,0.8018508553504944,0.01069391705095768,0.004495785105973482,0.11530941724777222,-4.707157131633721e-05,0.9654290974140167,0.9296035170555115,0.9845724105834961,0.9229066967964172
SUN397__EuroSAT,SUN397,EuroSAT,0.3698862377154935,0.339736490991159,0.1667783169673299,0.1932465250665357,1.9878809452056885,0.012119054794311523,1.9760282039642334,0.1984286606311798,0.8015713095664978,1.925032887887951,0.07496711211204898,0.030685052275657654,2.910207748413086,0.12971889972686768,88.24159999331953,0.7862927215284237,0.8908763415408585,0.07833674176121658,0.11696829357237187,2.7242448329925537,0.9639124274253845,0.957560483354114,96.59854888916016,0.07404382526874542,0.7514638304710388,0.019464336335659027,0.006118815392255783,0.13277477025985718,-2.3257809516508132e-05,0.9748254120349884,0.9469936192035675,0.9868530333042145,0.9540087878704071
SUN397__SVHN,SUN397,SVHN,0.29641791372241155,0.3245789399651073,0.12750401418164092,0.17688339443016304,1.9463902711868286,0.05360972881317139,1.8978080749511719,0.3766896426677704,0.6233103275299072,1.8804177297469462,0.11958227025305379,0.029415229335427284,4.263948440551758,0.2486303597688675,88.31438836520084,0.6360776604263202,0.8875712055080341,0.06459405523426129,0.09373558253612158,4.065237998962402,0.9259276986122131,0.910869437215372,97.54841613769531,0.06348413228988647,0.735602617263794,0.0009970617247745395,0.00855218805372715,0.09844645857810974,8.274652827822138e-06,0.9668404161930084,0.9147980511188507,0.9760159850120544,0.9386266469955444
SUN397__GTSRB,SUN397,GTSRB,0.32526759934444743,0.31653017667863936,0.14209718555914905,0.1721417663293838,1.9884077310562134,0.011592268943786621,1.9770591259002686,0.19448906183242798,0.805510938167572,1.9181295322317848,0.08187046776821516,0.036176033318042755,2.900423288345337,0.1526709496974945,87.92681360519647,0.7849525663095867,0.906029334608114,0.06851178238976677,0.10285865152781863,3.0863735675811768,0.9546215534210205,0.9456964379424951,96.86764526367188,-0.006209446582943201,0.7649206519126892,-3.986505907960236e-05,0.007208279334008694,0.10539504885673523,-1.653473918850068e-05,0.9719279408454895,0.9008913636207581,0.9888975620269775,0.9198799431324005
SUN397__MNIST,SUN397,MNIST,0.2981879843363283,0.30929035254595966,0.12885869016765422,0.1673440828805192,1.9830683469772339,0.016931653022766113,1.9666543006896973,0.23042230308055878,0.76957768201828,1.9030108930509875,0.09698910694901253,0.03747846931219101,3.675740957260132,0.25513961911201477,87.85213885848172,0.789761727499987,0.8710789882911826,0.0647379534143322,0.09429532587528229,4.066893577575684,0.9364718794822693,0.8631199151792533,104.1172866821289,0.006967147812247276,0.6520494222640991,-0.002907517133280635,-0.008129732683300972,0.10211953520774841,-6.3175743889587466e-06,0.9716425240039825,0.9616073966026306,0.9820697605609894,0.9567575752735138
SUN397__DTD,SUN397,DTD,0.4141468574805016,0.36361179887952744,0.20152233976800488,0.2175223043249955,1.9264724254608154,0.07352757453918457,1.862243890762329,0.42764851450920105,0.5723515152931213,1.8490325728517158,0.15096742714828415,0.054506950080394745,2.6046862602233887,0.16590067744255066,86.87543331664155,0.566114118481505,0.9275353629634066,0.08393954409743254,0.13096474375364914,2.1194705963134766,0.9767398834228516,0.9944300760789223,94.25489807128906,0.01500706933438778,1.0107170343399048,-0.04018458351492882,0.009607152082026005,0.15360912680625916,0.00013940391363576055,0.9123194813728333,0.8495908975601196,0.9709679484367371,0.8420061767101288
SUN397__Flowers102,SUN397,Flowers102,0.38940235061328954,0.332607570766336,0.18418579246356803,0.1885938577064014,1.7254056930541992,0.2745943069458008,1.5618717670440674,0.6924997568130493,0.3075002431869507,1.6766001244733906,0.3233998755266094,0.05359860137104988,2.388733148574829,0.08791542798280716,86.92755406217783,0.3050840194600388,0.9127749193389461,0.08053108872670048,0.12313983575353084,1.9686545133590698,0.9797192811965942,0.9951060522469568,93.55570220947266,-0.06542588770389557,1.3093371391296387,-0.05682925134897232,-0.004596870858222246,0.126173198223114,-7.866967644076794e-05,0.9383593797683716,0.9236486852169037,0.9853034317493439,0.8917893767356873
SUN397__PCAM,SUN397,PCAM,0.33066198602807745,0.35171602608810687,0.14468279038116616,0.20061218008434153,1.9533019065856934,0.04669809341430664,1.9104410409927368,0.3559589087963104,0.644041121006012,1.8799096529343784,0.1200903470656216,0.023689400404691696,4.137052059173584,0.19086071848869324,88.64257035528767,0.6673131183606987,0.8945771691934118,0.07519169896841048,0.10456450126081146,6.436679840087891,0.7804284691810608,0.9824455544661728,73.5767822265625,0.0024338667280972004,0.6433778405189514,-0.010683132335543633,-0.013104766607284546,0.10386943817138672,2.8903780275868485e-06,0.9375695288181305,0.92486372590065,0.9465779662132263,0.9166781008243561
SUN397__FER2013,SUN397,FER2013,0.33061586108541163,0.3611107846214765,0.14651913174761916,0.2075210725493237,1.984491229057312,0.015508770942687988,1.9694175720214844,0.22161290049552917,0.7783870697021484,1.935329783839948,0.06467021616005209,0.028965545818209648,3.658881664276123,0.19451670348644257,88.34016431698223,0.800602755040006,0.9196751128952458,0.07093798897738726,0.10454992173977617,2.3341176509857178,0.973258376121521,0.964742501526448,96.80905151367188,-0.07728856801986694,1.0052180290222168,-0.006650804542005062,0.005864480044692755,0.13582535088062286,-0.0001316730194957927,0.9670149087905884,0.9094975292682648,0.9916053116321564,0.9263011813163757
